title,rating(y),avg_rating,lee_rating,eval_count,wish_count,cmt_count,director,actors,film_rate,genre,nation,run_time,year,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
스포트라이트,3.0,4.22683,4.0,13025.0,9796.0,2585.0,토마스맥카시,"마이클키튼,마크러팔로,레이첼맥아담스",15세 관람가,드라마,미국,128.0,2015.0,7,10,14,83,50,1472,454,4509,4318,2108
찌라시 : 위험한 소문,2.0,2.99629,,58122.0,3166.0,965.0,김광식,"김강우,정진영,박성웅",15세 관람가,드라마,한국,121.0,2013.0,1312,2238,2150,6749,6597,9397,16842,1367,9011,2459
비포 미드나잇,4.0,3.90119,,66296.0,33565.0,1539.0,리처드링클레이터,"에단호크,줄리델피,시머스데이비-피츠패트릭",청소년 관람불가,로맨스/멜로,미국,108.0,2013.0,228,316,956,1513,2367,7526,9953,7289,21200,14948
더 웹툰: 예고살인,2.0,2.62241,,67031.0,1079.0,712.0,김용균,"이시영,엄기준,문가영",15세 관람가,공포,한국,104.0,2013.0,3615,4063,5424,8133,11525,6501,17566,765,7099,2340
트랜센던스,3.0,3.31175,,68174.0,9510.0,2439.0,월리피스터,"조니뎁,레베카홀,모건프리먼",12세 관람가,SF,"미국, 영국",119.0,2014.0,787,1612,1329,6635,5251,13675,15493,4620,14473,4299
인간중독,2.0,2.27068,,71711.0,1780.0,1801.0,김대우,"송승헌,임지연,온주완",청소년 관람불가,드라마,한국,132.0,2014.0,6464,7653,7810,9750,15110,5136,13452,717,3879,1740
헝거게임: 모킹제이,2.0,3.52048,,74705.0,7661.0,2829.0,프란시스로렌스,"제니퍼로렌스,리암헴스워스,조쉬허처슨",15세 관람가,판타지,미국,123.0,2014.0,627,994,895,5484,3262,16857,15539,5451,17810,7786
인턴,3.0,3.90317,,74444.0,10389.0,7696.0,낸시마이어스,"로버트드니로,앤해서웨이,르네루소",12세 관람가,코미디,미국,121.0,2015.0,68,215,134,2333,892,16408,8537,13171,23202,9484
뷰티 인사이드,2.0,3.61165,,78615.0,6108.0,7895.0,백종열,"이현우,한효주,김대명",12세 관람가,로맨스/멜로,한국,127.0,2015.0,294,764,475,5541,2612,19241,13621,8633,20943,6491
검은 사제들,4.0,3.60711,,79275.0,4026.0,7954.0,장재현,"김윤석,강동원,박소담",15세 관람가,스릴러,한국,108.0,2015.0,268,495,398,4124,1916,23240,14162,7177,23118,4377
내부자들,4.0,3.86041,,81082.0,5085.0,8404.0,우민호,"이병헌,조승우,백윤식",청소년 관람불가,범죄,한국,130.0,2015.0,159,280,244,2816,1133,17798,9406,13980,26694,8572
사일런트 힐,3.0,3.34497,,83358.0,5629.0,841.0,크리스토프갱스,"라다미첼,로리홀든,숀빈",청소년 관람불가,공포,"캐나다, 일본, 미국, 프랑스",124.0,2006.0,833,1109,3363,3894,8095,9721,22115,3029,22544,8655
마션,3.0,4.01025,4.0,93331.0,8067.0,10234.0,리들리스콧,"맷데이먼,제시카차스테인,제프다니엘스",12세 관람가,SF,미국,142.0,2015.0,69,186,141,1441,691,17710,6399,20209,35774,10711
시간 여행자의 아내,3.0,3.66282,,96957.0,21133.0,1044.0,로베르트슈벤트케,"에릭바나,레이첼맥아담스,알렉스페리스",12세 관람가,로맨스/멜로,미국,107.0,2009.0,246,535,1604,3179,4844,12990,21657,6560,31673,13669
군도:민란의 시대,3.0,3.14855,,102482.0,7671.0,7200.0,윤종빈,"하정우,강동원,이경영",15세 관람가,액션,한국,137.0,2014.0,1196,2669,1647,12924,7522,26156,28380,3269,16006,2713
씬 시티,3.0,3.56793,,101752.0,8883.0,1061.0,프랭크밀러,"브루스윌리스,미키루크,제시카알바",청소년 관람불가,범죄,미국,123.0,2005.0,558,782,3799,2620,8100,9690,22607,5442,31937,16217
끝까지 간다,4.0,3.86662,3.0,116851.0,6526.0,6115.0,김성훈,"이선균,조진웅,신동미",15세 관람가,범죄,한국,111.0,2013.0,201,472,353,2972,1644,26814,12364,17296,42627,12108
빅 히어로,4.0,3.95044,,119876.0,10304.0,5545.0,크리스윌리엄스,"라이언포터,스콧애짓,제이미정",전체 관람가,애니메이션,미국,108.0,2014.0,403,544,543,3478,1960,21940,12859,19271,36988,21890
루시,3.0,3.10815,,122449.0,9728.0,6180.0,뤽베송,"스칼렛요한슨,모건프리먼,최민식",청소년 관람불가,액션,"미국, 프랑스",90.0,2014.0,2579,4574,3428,15836,12048,23538,28387,6242,19359,6458
버킷 리스트 - 죽기 전에 꼭 하고 싶은 것들,3.0,3.94196,,127387.0,40384.0,1187.0,롭라이너,"잭니콜슨,모건프리먼,숀헤이즈",12세 관람가,드라마,미국,96.0,2007.0,254,390,1390,2259,3414,13299,20407,10470,44832,30672
킬러들의 수다,3.0,3.36549,,132497.0,5907.0,598.0,장진,"신현준,정재영,신하균",15세 관람가,코미디,한국,120.0,2001.0,772,1366,4549,5349,12560,14382,38527,3664,38626,12702
암살,4.0,3.94286,,142933.0,5514.0,10405.0,최동훈,"전지현,이정재,하정우",15세 관람가,액션,한국,140.0,2015.0,179,434,323,3557,1445,30103,14994,26425,45653,19820
베테랑,3.0,4.00765,3.0,156282.0,5621.0,12327.0,류승완,"황정민,유아인,유해진",15세 관람가,액션,한국,124.0,2015.0,236,414,319,2903,1417,31166,12063,31427,52650,23687
메이즈 러너,2.0,3.69728,,159950.0,6841.0,5961.0,웨스볼,"딜런오브라이언,토마스생스터,윌폴터",12세 관람가,액션,미국,113.0,2014.0,617,1414,1039,8592,4641,37161,26216,16663,44106,19501
디 워,1.0,1.98421,,267408.0,484.0,2215.0,심형래,"제이슨베어,아만다브룩스,크레이그로빈슨",12세 관람가,판타지,한국,90.0,2007.0,35355,14910,65926,16272,56686,8712,46132,1406,14679,7330
건축학개론,3.0,3.58254,,636441.0,6750.0,3231.0,이용주,"엄태웅,한가인,이제훈",12세 관람가,로맨스/멜로,한국,118.0,2012.0,3472,5626,14338,21799,43984,61959,159911,22984,199358,103010
어거스트 러쉬,3.0,3.94234,,450272.0,13246.0,1565.0,커스틴쉐리단,"프레디하이모어,조나단리스마이어스,케리러셀",전체 관람가,드라마,미국,113.0,2007.0,1275,1918,5987,8455,16750,36516,74932,28263,149635,126541
브루스 올마이티,3.0,3.79117,,314274.0,9659.0,1323.0,톰새디악,"짐캐리,모건프리먼,제니퍼애니스턴",12세 관람가,코미디,미국,100.0,2003.0,620,1089,3393,6469,10671,35734,64547,16868,120436,54447
"색, 계",4.0,3.55195,,178290.0,9805.0,1245.0,이안,"양조위,탕웨이,왕리홍",청소년 관람불가,로맨스/멜로,"미국, 중국, 대만, 홍콩",157.0,2007.0,978,1517,5044,5093,13926,18714,43671,9587,53611,26149
펄프 픽션,3.0,3.93998,,65199.0,17580.0,1466.0,쿠엔틴타란티노,"존트라볼타,사무엘L.잭슨,우마서먼",청소년 관람불가,범죄,미국,154.0,1994.0,113,158,1300,720,2506,5159,9866,6283,22912,16182
신세계,3.0,4.21741,,561470.0,15862.0,4473.0,박훈정,"황정민,최민식,이정재",청소년 관람불가,범죄,한국,134.0,2012.0,1129,1351,4842,5813,10312,37680,54387,53312,172892,219752
겨울왕국,4.0,3.90408,,528793.0,6676.0,7410.0,크리스벅,"박지윤,소연,크리스틴벨",전체 관람가,애니메이션,미국,108.0,2013.0,2335,3642,5138,16751,16586,66545,84239,42376,155143,136038
킥 애스: 영웅의 탄생,4.0,3.48115,,135240.0,6717.0,1691.0,매튜본,"애런존슨,클로이모레츠,니콜라스케이지",청소년 관람불가,판타지,"미국, 영국",117.0,2010.0,1174,1428,6350,4390,11298,14845,28940,6265,41614,18936
"아이, 로봇",4.0,3.6504,,295989.0,5242.0,880.0,알렉스프로야스,"윌스미스,브리짓모나한,브루스그린우드",12세 관람가,SF,미국,110.0,2004.0,587,1225,3425,7369,14084,34126,77168,11900,106702,39403
킹콩,4.0,3.43914,,280720.0,2553.0,929.0,피터잭슨,"나오미왓츠,잭블랙,애드리언브로디",15세 관람가,판타지,"뉴질랜드, 미국",186.0,2005.0,1127,2290,7440,9489,24224,27966,85256,8570,82203,32155
아바타,4.0,3.96304,,667532.0,4178.0,3078.0,제임스카메론,"샘워싱턴,조샐다나,시고니위버",12세 관람가,SF,미국,162.0,2009.0,2285,3107,10057,11372,26109,49937,106607,47304,212636,198118
노트북,4.0,4.01638,,275127.0,35005.0,2430.0,닉카사베츠,"라이언고슬링,레이첼맥아담스,제임스마스던",15세 관람가,로맨스/멜로,미국,123.0,2004.0,758,1046,4492,4240,9990,20103,40417,20530,83723,89828
명량,3.0,3.68229,,299663.0,7434.0,10269.0,김한민,"최민식,류승룡,조진웅",15세 관람가,액션,한국,128.0,2014.0,3522,4778,4398,17958,13293,51974,48078,33657,69187,52818
데드풀,3.0,3.78549,3.0,45252.0,9342.0,6013.0,팀밀러,"라이언레이놀즈,모레나바카린,에드스크레인",청소년 관람불가,액션,미국,106.0,2016.0,142,218,174,1517,736,12081,5700,6450,14461,3773
키리시마가 동아리활동 그만둔대,4.0,3.64451,4.0,8465.0,6900.0,945.0,요시다다이하치,"카미키류노스케,하시모토아이,오고스즈카",15세 관람가,드라마,일본,103.0,2013.0,59,80,243,330,355,1738,1142,1215,2571,732
비포 선라이즈,4.0,4.03776,,149589.0,29655.0,2247.0,리처드링클레이터,"에단호크,줄리델피,안드레아에커트",15세 관람가,로맨스/멜로,"오스트리아, 미국",100.0,1995.0,412,489,3055,1758,5108,10359,19684,12853,47092,48779
초속 5센티미터,5.0,3.69382,,112045.0,14999.0,1655.0,신카이마코토,"미즈하시켄지,하나무라사토미",전체 관람가,애니메이션,일본,62.0,2007.0,737,1014,3258,3367,7007,11377,21699,7024,33027,23535
나를 찾아줘,3.0,3.9742,,135876.0,19361.0,9132.0,데이빗핀처,"벤애플렉,로자먼드파이크,닐패트릭해리스",청소년 관람불가,스릴러,미국,145.0,2014.0,432,566,682,2951,2110,22818,10930,29609,48228,17550
미드나잇 인 파리,4.0,3.90653,,174743.0,36521.0,3652.0,우디앨런,"오웬윌슨,마리옹꼬띠아르,레이첼맥아담스",15세 관람가,로맨틱 코미디,"미국, 스페인",94.0,2011.0,540,755,2954,3172,6454,18714,25473,18028,58835,39818
그랜드 부다페스트 호텔,5.0,4.01767,4.0,170189.0,31085.0,6945.0,웨스앤더슨,"랄프파인즈,토니레볼로리,에드워드노튼",청소년 관람불가,드라마,"미국, 독일, 영국",100.0,2014.0,718,935,1270,3827,3370,23133,16429,31862,52551,36094
매드 맥스: 분노의 도로,4.0,4.04374,,197228.0,8501.0,12132.0,조지밀러,"톰하디,샤를리즈테론,니콜라스홀트",15세 관람가,액션,"오스트레일리아, 미국",120.0,2015.0,1490,1349,2309,4766,4364,24116,16571,40299,53565,48399
엣지 오브 투모로우,3.0,3.96296,,225267.0,10714.0,6440.0,더그라이만,"톰크루즈,에밀리블런트,샤롯라일리",12세 관람가,액션,미국,113.0,2014.0,502,941,1003,5231,3334,40654,22810,37065,75987,37740
쥬라기 공원,4.0,3.87411,,188541.0,2363.0,962.0,스티븐스필버그,"샘닐,로라던,제프골드브럼",12세 관람가,SF,미국,123.0,1993.0,461,649,3089,2662,7525,14736,35468,10963,67778,45210
엑스맨: 데이즈 오브 퓨처 패스트,4.0,4.03755,4.0,202434.0,8062.0,4601.0,브라이언싱어,"휴잭맨,제임스맥어보이,마이클패스벤더",12세 관람가,액션,미국,134.0,2014.0,547,721,946,4252,2902,28999,20105,31665,67366,44931
노인을 위한 나라는 없다,4.0,3.91386,,126654.0,31862.0,2657.0,조엘코엔,"하비에르바르뎀,토미리존스,조슈브롤린",청소년 관람불가,스릴러,미국,122.0,2007.0,459,523,3318,1799,6086,9158,18620,12849,40236,33606
킹스맨 : 시크릿 에이전트,4.0,4.16182,,288696.0,10265.0,14247.0,매튜본,"태론에거튼,콜린퍼스,사무엘L.잭슨",청소년 관람불가,액션,"미국, 영국",128.0,2015.0,802,944,1311,4985,3316,35876,19027,62282,84490,75663
인터스텔라,4.0,4.31023,,345271.0,11782.0,15881.0,크리스토퍼놀란,"매튜맥커너히,앤해서웨이,제시카차스테인",12세 관람가,SF,"미국, 영국",169.0,2014.0,1098,1238,1756,5013,3820,31615,19628,71713,75827,133563
위플래쉬,4.0,4.11632,,165181.0,21200.0,12593.0,다미엔차젤레,"마일즈텔러,J.K.시몬스,폴레이저",15세 관람가,드라마,미국,106.0,2014.0,972,970,1628,3575,3185,19378,12791,36567,40930,45185
비긴 어게인,4.0,4.07171,,332273.0,16980.0,11078.0,존카니,"키이라나이틀리,마크러팔로,애덤리바인",15세 관람가,드라마,미국,104.0,2013.0,1367,1630,2511,8061,5788,44802,31808,58274,89955,88077
이미테이션 게임,4.0,3.8334,,161022.0,16670.0,6616.0,모튼틸덤,"베네딕트컴버배치,키이라나이틀리,매튜구드",15세 관람가,드라마,"미국, 영국",114.0,2014.0,641,855,1311,4960,3356,34024,20294,24067,50880,20634
그녀,4.0,4.00045,4.0,176084.0,34142.0,8377.0,스파이크존즈,"호아킨피닉스,스칼렛요한슨,에이미아담스",청소년 관람불가,드라마,미국,126.0,2013.0,960,1141,1884,4404,4066,24186,16686,32808,51203,38746
누구나 비밀은 있다,2.0,2.524,,40000.0,459.0,258.0,장현수,"이병헌,최지우,추상미",청소년 관람불가,로맨틱 코미디,한국,105.0,2004.0,1406,2508,3325,4953,8986,3143,11697,208,3095,679
글루미 썬데이,4.0,3.70622,,28381.0,9412.0,353.0,롤프슈벨,"조아킴크롤,스테파노디오니시,벤벡커",청소년 관람불가,로맨스/멜로,"독일, 헝가리",112.0,1999.0,73,134,438,736,1298,3735,6086,1959,9685,4237
공공의 적,3.0,3.78622,,228114.0,4925.0,642.0,강우석,"설경구,이성재,강신일",청소년 관람불가,스릴러,한국,138.0,2002.0,594,954,3673,4096,9600,20345,48171,9113,85783,45785
40살까지 못해본 남자,2.0,3.12257,,15819.0,2588.0,199.0,주드아패토우,"스티브카렐,캐서린키너,폴러드",청소년 관람불가,코미디,미국,115.0,2005.0,142,252,660,1134,1783,2139,5326,265,3367,751
아메리칸 뷰티,4.0,3.76219,4.0,76360.0,20500.0,1051.0,샘멘데스,"케빈스페이시,아네트베닝,미나수바리",청소년 관람불가,드라마,미국,122.0,1999.0,175,321,1410,1277,3467,7609,15470,6124,27989,12518
8 마일,3.0,3.67604,,114857.0,7150.0,986.0,커티스핸슨,"에미넴,킴베신저,브리터니머피",청소년 관람불가,드라마,미국,110.0,2002.0,389,627,2083,3056,5370,14647,25900,6328,39126,17331
에이트 빌로우,2.0,3.77096,,40949.0,3862.0,347.0,프랭크마샬,"폴워커,브루스그린우드,문블러드굿",전체 관람가,드라마,미국,120.0,2006.0,100,178,555,893,1481,5116,8305,2809,14661,6851
로맨틱 아일랜드,1.0,2.46445,,10224.0,718.0,67.0,강철우,"이선균,이수경,이문식",15세 관람가,로맨틱 코미디,한국,107.0,2008.0,424,655,1267,979,2360,520,2689,57,945,328
황산벌,1.0,3.00628,4.0,175495.0,1148.0,588.0,이준익,"박중훈,정진영,이문식",15세 관람가,코미디,한국,104.0,2003.0,2677,3934,11759,10756,26234,16747,54950,2742,35051,10645
생활의 발견,2.0,3.25486,,24305.0,2220.0,261.0,홍상수,"김상경,추상미,예지원",청소년 관람불가,로맨스/멜로,한국,115.0,2002.0,185,351,1015,1139,2663,3157,6969,764,6405,1657
맨발의 꿈,2.0,3.32487,3.0,24013.0,996.0,172.0,김태균,"박희순,고창석,프란시스코프렌큐아마랄...",전체 관람가,드라마,"한국, 일본",121.0,2010.0,175,324,695,1346,2004,3247,7365,725,6190,1942
"그 시절, 우리가 좋아했던 소녀",2.0,3.98496,,210095.0,25167.0,3953.0,구파도,"가진동,진연희,언승우",15세 관람가,로맨스/멜로,대만,107.0,2011.0,820,1245,3010,5197,7081,22583,27173,22404,59542,61041
박수건달,1.0,2.96825,,233706.0,2061.0,842.0,조진규,"박신양,정혜영,김정태",15세 관람가,코미디,한국,127.0,2012.0,5160,6439,17861,15801,35861,19361,67644,3617,44354,17608
꽃보다 남자,2.0,2.78668,,36797.0,484.0,159.0,이시이야스하루,"아베츠요시,이노우에마오,마츠모토준",12세 관람가,로맨스/멜로,일본,130.0,2008.0,1528,1606,3324,3025,6125,2810,9986,502,5288,2603
어메이징 스파이더맨 2,3.0,3.58656,,186029.0,4882.0,3758.0,마크웹,"앤드류가필드,엠마스톤,제이미폭스",12세 관람가,액션,미국,142.0,2014.0,1210,2327,2123,11206,8699,34900,38915,12465,50366,23818
무간도 3 - 종극무간,5.0,3.73584,,34346.0,2529.0,279.0,맥조휘,"유덕화,양조위,여명",15세 관람가,범죄,홍콩,117.0,2003.0,121,176,779,840,1895,3462,7213,1953,10762,7145
해롤드와 쿠마,3.0,3.46281,,14818.0,2116.0,226.0,대니레이너,"존조,칼펜,폴라가시스",청소년 관람불가,코미디,"미국, 캐나다",87.0,2004.0,101,176,507,622,1203,1853,3522,614,4387,1833
나 홀로 집에 3,3.0,3.27461,,175265.0,916.0,707.0,라자고스넬,"레니본돌렌,마리안셀즈,리아킬스테트",전체 관람가,코미디,미국,102.0,1997.0,2520,4330,6206,12737,17921,20903,46014,5553,39197,19884
해결사,2.0,2.82631,,35242.0,929.0,190.0,권혁재,"설경구,이정진,오달수",15세 관람가,액션,한국,100.0,2010.0,511,1067,2464,3047,6518,2851,12120,297,4883,1484
렛 미 인,4.0,3.46239,,55614.0,8694.0,761.0,맷리브스,"클로이모레츠,코디스밋맥피,리차드젠킨스",15세 관람가,공포,"영국, 미국",116.0,2010.0,357,606,1429,2595,3980,8084,14048,2660,16067,5788
내가 널 사랑할 수 없는 10가지 이유,3.0,3.85055,,51157.0,15118.0,1006.0,길정거,"히스레저,수잔메이플랫,줄리아스타일즈",12세 관람가,로맨틱 코미디,미국,97.0,1999.0,112,201,632,1115,1676,6440,9097,4110,17346,10428
즐거운 인생,2.0,3.15776,,47813.0,1106.0,314.0,이준익,"정진영,김윤석,장근석",전체 관람가,드라마,한국,112.0,2007.0,345,812,1751,3366,5533,5635,16086,1008,10586,2691
사탄의 인형,3.0,3.18125,,86266.0,702.0,514.0,톰홀랜드,"캐서린힉스,크리스서랜던,알렉스빈센트",15세 관람가,공포,미국,87.0,1988.0,2249,1735,4493,4429,8351,11688,23368,2491,21119,6343
무간도 2 - 혼돈의 시대,5.0,3.73762,,42968.0,3030.0,325.0,유위강,"황추생,증지위,유가령",15세 관람가,범죄,홍콩,103.0,2003.0,131,197,1132,872,2434,4105,8658,2458,14252,8729
원초적 본능,4.0,3.48095,,49078.0,5140.0,376.0,폴버호벤,"마이클더글라스,샤론스톤,조지던자",청소년 관람불가,스릴러,미국,123.0,1992.0,147,339,1071,1467,3562,6110,14207,1703,15625,4847
행오버 2,3.0,3.34124,,56110.0,3295.0,446.0,토드필립스,"브래들리쿠퍼,에드헬름스,자흐갈리피아나키스",청소년 관람불가,코미디,미국,102.0,2011.0,488,874,1760,3479,5465,6671,15243,1583,14433,6114
구르믈 버서난 달처럼,3.0,3.05825,,74057.0,2808.0,590.0,이준익,"차승원,한지혜,백성현",15세 관람가,드라마,한국,111.0,2010.0,937,1844,2768,6761,9599,9204,24015,1487,13837,3606
순정만화,2.0,2.91054,,62482.0,1325.0,444.0,류장하,"박혜진,김해자,손지효",12세 관람가,로맨틱 코미디,한국,113.0,2008.0,1091,2025,3897,5504,10371,5774,19465,1002,10019,3334
용서받지 못한 자,3.0,3.59378,,57372.0,6038.0,852.0,윤종빈,"하정우,서장원,윤종빈",15세 관람가,드라마,한국,121.0,2005.0,249,356,1359,1403,3352,8042,12624,3585,20221,6181
용의자,1.0,3.31001,,113276.0,4123.0,1840.0,원신연,"공유,박희순,조성하",15세 관람가,액션,한국,137.0,2013.0,1234,2263,2714,8874,9511,17918,30599,4057,26290,9816
더 리더 - 책 읽어주는 남자,3.0,3.64524,,71552.0,17666.0,986.0,스티븐달드리,"랄프파인즈,자넷헤인,데이빗크로스",청소년 관람불가,로맨스/멜로,"미국, 독일",123.0,2008.0,200,408,1454,1913,4107,9416,15844,5030,23360,9820
행운을 돌려줘,3.0,3.31421,,69624.0,4270.0,404.0,도날드페트리,"린제이로한,크리스파인,페이즌러브",12세 관람가,로맨틱 코미디,미국,102.0,2006.0,300,885,2007,3944,6158,8855,22162,1543,18206,5564
서양골동양과자점 앤티크,2.0,2.81486,3.0,117293.0,2122.0,655.0,민규동,"주지훈,유아인,김재욱",15세 관람가,드라마,한국,109.0,2008.0,3513,4993,7599,12307,18488,12985,34673,1704,16685,4346
시실리 2km,3.0,2.78675,,98890.0,622.0,424.0,신정원,"임창정,권오중,임은경",15세 관람가,코미디,한국,109.0,2004.0,2853,3938,7749,8310,17666,10123,28275,1358,15074,3544
착신아리,1.0,2.57139,,80766.0,562.0,398.0,미이케다카시,"시바사키코우,츠츠미신이치,후키이시카즈에",12세 관람가,공포,일본,112.0,2003.0,3665,3002,11234,5759,15653,5722,21913,807,9998,3013
화산고,1.0,2.42466,,128100.0,380.0,675.0,김태균,"장혁,신민아,허준호",12세 관람가,액션,한국,121.0,2001.0,7536,7724,15841,12931,27679,9232,32547,887,10862,2861
오션스 트웰브,2.0,3.64181,,92122.0,5650.0,394.0,스티븐소더버그,"돈치들,베니맥,조지클루니",12세 관람가,액션,"미국, 오스트레일리아",125.0,2004.0,262,609,1063,3440,4384,12537,22105,3941,30841,12940
차우,2.0,2.52071,,98199.0,448.0,587.0,신정원,"엄태웅,정유미,장항선",12세 관람가,스릴러,한국,121.0,2009.0,4004,5145,10807,9601,21843,6661,27555,665,9302,2616
색즉시공 시즌 2,1.0,2.4344,,86102.0,382.0,290.0,윤태윤,"임창정,송지효,신이",청소년 관람불가,코미디,한국,115.0,2007.0,4575,4548,13352,6062,19742,4089,20890,583,8419,3842
남자사용설명서,2.0,2.87442,,113197.0,3591.0,1474.0,이원석,"김준성,이시영,오정세",15세 관람가,코미디,한국,116.0,2012.0,3981,4079,9899,8306,16481,13403,28574,2518,20210,5746
흡혈형사 나도열,1.0,2.17266,,63642.0,129.0,395.0,이시명,"김수로,조여정,천호진",12세 관람가,코미디,한국,110.0,2006.0,2897,3369,12791,4112,19100,1645,15099,98,3670,861
블러드 다이아몬드,2.0,3.72187,,79676.0,11815.0,707.0,에드워드즈윅,"레오나르도디카프리오,제니퍼코넬리,자이몬훈수",청소년 관람불가,액션,"미국, 독일",142.0,2006.0,130,282,1200,1556,3465,9366,17415,5277,29659,11326
우리 형,2.0,3.32089,,116485.0,2997.0,380.0,안권태,"원빈,신하균,김해숙",15세 관람가,드라마,한국,112.0,2004.0,605,1472,2193,7114,9564,16011,38692,3275,29435,8124
주먹이 운다,3.0,3.46737,,89884.0,4603.0,613.0,류승완,"최민식,류승범,기주봉",15세 관람가,드라마,한국,134.0,2005.0,371,712,1850,3449,6207,11705,26500,3378,26676,9036
장고:분노의 추적자,4.0,3.80887,4.0,102247.0,22738.0,2703.0,쿠엔틴타란티노,"제이미폭스,레오나르도디카프리오,크리스토프왈츠",청소년 관람불가,액션,미국,165.0,2012.0,384,581,1958,2205,4812,11003,16705,11665,34557,18377
킹콩을 들다,3.0,3.21284,,95130.0,1158.0,328.0,박건용,"이범수,조안,이윤회",전체 관람가,코미디,한국,120.0,2009.0,840,1516,3699,5629,10502,10706,30305,2238,22771,6924
천녀유혼,4.0,3.84526,,87674.0,3424.0,429.0,정소동,"장국영,왕조현,우마",15세 관람가,판타지,홍콩,98.0,1987.0,203,313,1605,1296,3329,7930,16202,4653,32979,19164
홀리데이,1.0,3.31544,,82905.0,2538.0,353.0,양윤호,"최민수,이성재,김동현",청소년 관람불가,범죄,한국,120.0,2005.0,435,884,3537,3411,9239,7132,25210,2176,21991,8890
비포 선셋,4.0,3.95738,4.0,108052.0,29458.0,1330.0,리처드링클레이터,"에단호크,줄리델피,마리안느플라스테그",15세 관람가,로맨스/멜로,미국,79.0,2004.0,357,380,2110,1619,3846,9239,15892,9682,35230,29697
머니볼,3.0,3.74997,4.0,114191.0,15399.0,1770.0,베넷밀러,"브래드피트,필립세이모어호프만,케리스도시",12세 관람가,드라마,미국,132.0,2011.0,449,515,2208,2327,4639,13793,21084,9295,42889,16992
스타쉽 트루퍼스,4.0,3.58555,,97401.0,1683.0,642.0,폴버호벤,"데니스리차드,캐스퍼반디엔,디나메이어",청소년 관람불가,SF,미국,129.0,1997.0,351,675,2364,2784,6324,10703,23987,4060,32368,13785
사생결단,3.0,3.53615,,87959.0,3494.0,366.0,최호,"황정민,류승범,추자현",청소년 관람불가,범죄,한국,117.0,2006.0,314,506,2383,2363,5948,9071,23790,2627,29805,11152
